product_id,slug,group_name,parameter_name,parameter_value
2950,uf-8-30-ps,Характеристики,Поток фильтрата,"0,3-1,0 с3/ч"
2950,uf-8-30-ps,Характеристики,Мутность фильтрата,≤ 0.1 NTU
2950,uf-8-30-ps,Характеристики,Удаление бактерий,≥ 4 log
2950,uf-8-30-ps,Характеристики,Снижение содержания общего органического углерода,5 – 75 %
2950,uf-8-30-ps,Характеристики,Снижение содержания железа,> 90 %
2950,uf-8-30-ps,Исполнение,Конфигурация,половолоконный мембранный модуль
2950,uf-8-30-ps,Исполнение,Мембранный полимер,полисульфон
2950,uf-8-30-ps,Исполнение,Материал корпуса,"ПВХ, D=110 мм"
2950,uf-8-30-ps,Исполнение,"MWCO, nominal","30,000 Daltons"
2950,uf-8-30-ps,Исполнение,Поверхность фильтрации,8 с2
2950,uf-8-30-ps,Исполнение,Число волокон,1800
2950,uf-8-30-ps,Исполнение,Размер волокон,"ID 0,9 mm, OD 1.3 mm"
2950,uf-8-30-ps,Исполнение,Присоединения,Victaulic 1 ½”
2950,uf-8-30-ps,Условия эксплуатации,Максимальное допустимое трансмембранное давление,2 бар
2950,uf-8-30-ps,Условия эксплуатации,Рекомендуемое рабочее трансмембранное давление,"0,5-1,0 бар"
2950,uf-8-30-ps,Условия эксплуатации,Максимальное допустимое давление при обратной промывке,3 бар
2950,uf-8-30-ps,Условия эксплуатации,Устойчивость к растворенному хлору,"до 0,1 г/л"
2950,uf-8-30-ps,Условия эксплуатации,Максимальная мутность питающей воды,200 NTU
2950,uf-8-30-ps,Условия эксплуатации,Максимальная рабочая температура,+40 °C
2950,uf-8-30-ps,Условия эксплуатации,Рабочий диапазон pH,1.0 - 13.0
2950,uf-8-30-ps,Условия эксплуатации,Режим работы,фильтрация изнутри наружу
2940,uf-2-100-pvdf,Характеристики,Производительность по чистой воде,"140±20 л/ч"
2940,uf-2-100-pvdf,Характеристики,Мутность фильтрата,≤ 0.1 NTU
2940,uf-2-100-pvdf,Характеристики,Удаление бактерий,≥ 3 log
2940,uf-2-100-pvdf,Исполнение,Мембранный полимер,поливинилиденфторид
2928,uf-7-100-pvdf,Характеристики,Поток фильтрата,"0,3-0,7 с3/ч"
2928,uf-7-100-pvdf,Характеристики,Мутность фильтрата,≤ 0.5 NTU
2524,uf-7-300-pvdf,Характеристики,Поток фильтрата,"0,5-2,0 с3/ч при 1 бар"
3221,4p-300-pvdf,Характеристики,Поток фильтрата,150-500 л/ч
3379,uf-2p-300-pvdf,Характеристики,Поток фильтрата,150-500 л/ч
